speaker,text,party,date,agenda,speechnumber,procedure_ID,partyfacts_ID,period,chair,MEP,commission,written,multispeaker,link,translationInSpeech,translatedText
Riho Terras,"Madam President, dear colleagues, as a former member of the Military Committee of the European Union and NATO, I urge you to take the Russian military threat against Europe seriously. Not only in words, but in real deeds. We need to show strength, invest in the military capabilities. Otherwise, we will have war in the European soil during the next parliamentary session.",PPE,2024-04-25,6. Statements by the President,8, ,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-006_EN.html,,
President,The next item is the vote*. I remind colleagues that explanations of vote for today may be submitted in writing. _________________ * For the results and other details concerning the vote: see minutes.,-,2024-04-25,7. Voting time,1, ,,9,True,False,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-007_EN.html,,
Virginijus Sinkevičius,"Madam President, I promise I’ll be short. But I have to read it. President, honourable Members, the Commission will continue supporting the implementation of the Regulation 2017/745 on Medical Devices and Regulation 2017/746 on in vitro diagnostic medical devices, with a view to reaching the objectives set by the co-legislators at the time of their adoption. At the same time, recognising that challenges have been encountered in the implementation of this regulation, the Commission will undertake a targeted evaluation of these two regulations. In particular, the Commission will evaluate the structural challenges related to the implementation of the two regulations as a first step towards identifying sustainable solutions for the future. The Commission remains fully committed to a legislative framework for medical devices that is sustainable and efficient, that fully safeguards patient safety and at the same time fosters the innovation, capacity and competitiveness of the medical device system in the EU.",-,2024-04-25,"7.1. Gradual roll-out of Eudamed, information obligation in case of interruption of supply and the transitional provisions for certain in vitro diagnostic medical devices (C9-0010/2024) (vote)",1, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-007-01_EN.html,,
Daniel Freund,"Madam President, you guys decide whether you want to postpone this, but this is one of the main replies of this House to the scandals that we have seen, including in this House and in this mandate. What Sven Simon from the EPP has just said is just not true. There is no such thing. Yes, maybe you listen or you read the Agreement and then you understand what we are actually voting on. This is not giving the Council any power over our rules or their implementation. There is a joint decision by eight institutions on setting common standards, where the European Parliament has a veto on each decision. So the Council cannot impose anything. And the question of whether there is some sort of secret takeover of the Commission by the secretariat: again, the secretariat of this ethics body is composed of one member from each of the participating institutions. They jointly decide and the first rotating chairmanship of the institutions goes to the European Parliament, so saying there is a power grab is not true. (Parliament rejected the motion for adjournment of the vote)",Greens/EFA,2024-04-25,7.5. Interinstitutional Body for Ethical Standards (A9-0181/2024 - Daniel Freund) (vote),3, ,6403.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-007-05_EN.html,,
Karen Melchior,"Madam President, this is an extremely important resolution we just voted. However, we do not know if employees that we hire in our offices, or even in this Parliament, have a security record that declares them unfit to receive classified or secure information. We cannot share information with our employees if we do not know that they do not have a background that declares them unfit. However, no security agencies within the European Union at a Member State level or within the institutions are able to assist Members of Parliament in making sure that they hire the right staff. This is something that this House must address before the next mandate.",Renew,2024-04-25,"7.13. New allegations of Russian interference in the European Parliament, in the upcoming EU elections and the impact on the Union (RC-B9-0262/2024, B9-0261/2024, B9-0262/2024, B9-0263/2024, B9-0264/2024, B9-0265/2024, B9-0266/2024) (vote)",1, ,6401.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-007-13_EN.html,,
Virginijus Sinkevičius,"Madam President, honourable Members, for all of us, upholding integrity and independence within all European institutions is crucial for maintaining public trust and impartial decision-making. Based on extensive work and contacts with the other institutions, the Commission tabled in June 2023 a proposal for a joint agreement between the institutions to establish an interinstitutional ethics body. To be truly interinstitutional, this body is common and open to all institutions and both advisory bodies mentioned in Article 13 of the Treaty on European Union. The Commission believes that the interinstitutional body will ensure that we have a clear and high standards of integrity and independence for the members of all European institutions, that we all have appropriate compliance mechanisms in all institutions, and that differences between the institutions and the institutional balance established by the founding treaties is respected. Areas where these standards are needed referred to such things like declarations of interest, acceptance of gifts, hospitality or travel offered by third parties, meetings with the interest representatives and their publication or post mandate activities of former members. The negotiating parties have conducted 13 technical meetings and six political meetings, culminating in the provisional agreement presented to you today for endorsement through the vote in the plenary. The Commission approved the agreement during its college meeting on 17 April, and we hope that all other parties to the agreement will finalise their procedures in time for the agreement to enter into force before the European elections in June. While I deeply regret that the European Council is not a party to the agreement at the moment, I am optimistic about their future involvement. The doors remain open and I am confident that the benefits demonstrated by the agreement will encourage the European Council to reconsider its position in the nearest future. Today, Parliament has to decide if it approves the agreement. The Commission hopes that the Parliament will join the agreement and that together we seize the opportunity to send a strong message to Europe that all EU institutions attach great importance to the ethical conduct of members when they exercise their mandate in the interest of the European Union.",-,2024-04-25,2. Interinstitutional Body for Ethical Standards (debate),3, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-002_EN.html,,
Luděk Niedermayer,"Madam President, let me first say that I am glad that it seems that we have a broad agreement on this very important act in debate within the Econ Committee. We were looking for ways of promoting a quicker introduction of net-zero strategic products, while at the same time keeping the market functioning and supporting the competition. This is also true for the extension of possible State aid, when we must balance the benefits of these steps, while also considering the risk that it creates for consistency of the single market. So I am glad that we support the creation of this file. At the same time, let me say that for the Parliament to come, the Council, the Commission to come, there is still the open issue that we should really find a way to better promote the transformation of our industry, to make sure that the global competitiveness of European firms is kept and strengthened.",PPE,2024-04-25,4. Framework of measures for strengthening Europe’s net-zero technology products manufacturing ecosystem (Net Zero Industry Act) (debate),3, bill_165_ID bill_195_ID  bill_165_ID bill_195_ID,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-004_EN.html,,
Sven Simon,"Madam President, colleagues, the last day of our mandate is such a sad day for parliamentarism in Europe that I lost my voice! According to Rule 200(4), I call, on behalf of the EPP, for the vote to be adjourned. Colleagues, this draft on the so-called interinstitutional agreement has so many legal uncertainties, which need to be clarified before we vote. There is no legal basis. First, it was argued Article 295. Then the Legal Service said the customs. Now it is written in the resolution Article 232 of the Treaty on the Functioning of the European Union. But that would mean that this decision which we take today would need a majority of the component members. Colleagues, do you really know what was negotiated here? The Council will, in the future, set moral standards, not clear legal rules. They will not apply those moral standards they ask us to apply. And there is one final thing I could not get my head around, colleagues: the secretariat – the powerhouse of this body – shall be hosted in the Commission. We, Parliament, are supposed to control the Commission. In future, the Commission will control us on moral standards. So I ask you: if you don’t follow me, postpone. If you cannot postpone, then I urge you to at least vote on Amendment 93 in favour that the secretariat of that body will be in this House, in our House, in this independent House, with freely elected Members, and not in the government, in the Commission.",PPE,2024-04-25,7.5. Interinstitutional Body for Ethical Standards (A9-0181/2024 - Daniel Freund) (vote),1, ,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-007-05_EN.html,,
Virginijus Sinkevičius,"Madam President, honourable Members, thank you for your contribution. I’ve taken good notes of your valuable comments. And I hope even if some of you are not going to be in the Parliament, you’re still going to be as passionately advocating for the expansion, for the enlargement of the Union, not only to the Commission, but also across the Member States, because the willingness of 27 is also extremely important. And we know that in 2019, where you together, when the Commission was approved, we entered this House, enlargement wasn’t a topic on the table. Now the situation has significantly shifted and we have an opportunity. An opportunity, which I fully agree with you, we have to seize and speed up ensuring that countries, the Western Balkans, Ukraine, Moldova, Georgia, they not only see the open door, but they have a possibility to truly walk into the European family. Let me underline that, once again, the purpose was to kick off the work on the in-depth policy reviews announced by President von der Leyen in her State of the Union Address in 2023. And the reviews may take different forms depending on the sectors and should benefit from stakeholders’ input on the specific impacts of a larger Union on individual policies. Building on the outcome of the reviews than substantive reform proposals in individual sectors, including in the preparation of the Commission proposal for the next multiannual financial framework, could then be a second step in this process. Having said that, honourable Members, I want to reassure you. In doing so, the Commission will continue to be driven by the irrevocable belief that completing our Union is the best investment in peace, security and prosperity for the continent, and be assured that the Commission will always support those who want to reform the EU to make it work for better for its citizens.",-,2024-04-25,3. Pre-enlargement reforms and policy reviews (debate),29, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-003_EN.html,,
Virginijus Sinkevičius,"Madam President, honourable Members, I want to thank you for having added a debate on the Commission’s communication on pre-enlargement reforms and policy reviews. This represents our contribution to the ongoing discussions that should lead to the endorsement by EU leaders of a roadmap for future work on enlargement and reforms by the summer. This is also the first stepping stone towards the reforms necessary to make the EU ready for a larger Union, with a series of in-depth policy reviews to begin in early 2025. Enlargement is in the Union’s own strategic interest. While there are challenges, the benefits of a well-managed enlargement process span across a number of areas: geopolitical, economic, environmental, social and democratic. For these benefits to materialise, both the EU and aspiring Member States must be well prepared, and this requires full and sustained political commitment and engagement – first and foremost from the enlargement countries, but also from the EU itself. With this understanding, the Commission’s communication looks at the implications of a larger EU in four main areas: values, policies, budget and governance, laying the ground for the pre-enlargement policy reviews. The EU must deepen as it widens. We must start preparing today for the Union of tomorrow and use enlargement as a catalyst for progress. While reforms were already necessary, with enlargement they become indispensable – and it is true that there will be challenging discussions ahead, reconciling the opportunities of a larger Union with the challenges it possesses will not be easy. It will require us to be bold in shaping the Europe of the future. But we are not starting from scratch. This is a key message from our communication. First, we have drawn important lessons from previous enlargements. We have redefined our enlargement toolbox, including through our policy of gradual integration. By frontloading certain benefits and obligations of EU membership, enlargement countries can be better prepared for a smoother accession process. Second, let us not forget that enlargement is only one factor determining the future of the EU and its capacity to act. In the last years, the EU has successfully dealt with the COVID pandemic, agreed on Next Generation EU, shown unprecedented unity in the face of Russia’s war of aggression against Ukraine, and effectively addressed the energy crisis. As we improve our policies at 27, we also become better prepared for a larger Union. Third, we must make full use of the untapped possibilities already offered by the Treaties, so the Commission is ready to support those who want to reform the Treaty to make it work better for citizens. And these are the main messages we want to pass through this communication. More will come when we present our in-depth policy reviews.",-,2024-04-25,3. Pre-enlargement reforms and policy reviews (debate),2, ,,9,False,False,True,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-003_EN.html,,
Mick Wallace,"Madam President, when we talk about EU enlargement, including Ukrainian accession, the people of Europe and especially Ireland should be aware of exactly what it will mean. The cost of Ukrainian accession will be monumental. It will cost trillions to rebuild Ukraine, not the EUR 50 billion. That’s before we talk about the actual cost of enlargement. Ukraine and Moldova are three times poorer than Bulgaria, which is the EU’s current most disadvantaged Member State. CAP will not exist as we now know it. The European Council estimates a 20 % cut in CAP payments to existing Member States will be needed to allow for Ukrainian accession. In this communication on pre-enlargement reforms and policy reviews last month, the Commission again stated that further enlargement of the EU would require the end of unanimity voting. The Commission specifically said that qualified majority voting should be extended to taxation and foreign policy. This will have a profound impact on Ireland. It would put Ireland at the mercy of other larger Member States and their hawkish foreign policy. It will be the death of Irish neutrality. We need to think about where we’re going. (End of catch-the-eye procedure)",The Left,2024-04-25,3. Pre-enlargement reforms and policy reviews (debate),28, ,6402.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-003_EN.html,,
Sven Simon,"Madam President, colleagues, this last day of our mandate is such a sad day for parliamentarism that I lost my voice. I was shocked how badly this interinstitutional agreement was negotiated. It is a retrial of parliamentarism. It is a frontal attack against the independence of freely elected Members of Parliament, and you know that. In your case, it is intentionally. This draft needs to be renegotiated. First of all, there is no legal basis. First, you started with Article 295, then the Legal Service argued tradition, custom. Now you write in the resolution Article 232 of the Treaty on the Functioning of the European Union. If that would be the legal basis, then we would need a majority of the component Members. It is a blatant violation of the principle of separation of powers. The Council will set moral standards, not legal rules. You talked about legal rules; we are talking about ethics, moral standards. It’s not only the European Council, it’s the Council which sets the rules; it’s not bound by it. The secretariat will be hosted in the Commission – unbelievable! We, the Parliament, are supposed to control the Commission. Now they will control us. We would agree to a standard-setting commission, but we cannot agree to a body that is supposed to discipline freely elected representatives based on moral ideas.",PPE,2024-04-25,2. Interinstitutional Body for Ethical Standards (debate),4, ,6398.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-002_EN.html,,
Miapetra Kumpula-Natri,"Madam President, colleagues, I have observed every case of misconduct with concern, and it is crucial to address these issues and build confidence in the EU’s integrity. Today can mark a stride toward a more ethical, transparent and accountable European Union. It is up to us to make the decision, and it’s up to the work of the next Parliament to improve it, because there have been better ideas, for example, from my Group, S&D. This timing of this discussion on the last day of this Parliament underscores our dedication to transparency and accountability as we enter the period of European elections. Ensuring citizens’ trust in our democratic institutions remains steadfast. As we move forward, let me remind you that this is not perfect, but voting against an ethical standards body looks very bad. We have to say clear that we do not accept third-party, third-country involvement here. So, Mr President, in my 10 last seconds as an MEP on the speaking podium after my 10 years, I have not given up hope for democracy, I will not give up hope for European integration, and I think we stand for democracy here, but we also stand for Ukraine. Let us keep that moment for the next Parliament, too. I will go back to the national parliament, but I hope this House will continue to stand with Ukraine and not have its ethics interfered with by third countries like Russia.",S&D,2024-04-25,2. Interinstitutional Body for Ethical Standards (debate),14, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-002_EN.html,,
Cyrus Engerer,"Madam President, transparency in politics is not only important, but essential. We currently have a system of self-verification, self-regulation at EU level and, Commissioner, we work so hard to fight greenwashing in Europe, we must do the same to fight for transparency and the integrity of all members of all institutions of this European Union. What a shame that governments have chosen to stay out from having an independent interinstitutional ethics body. European governments, together with the EPP and the fascists in this House, are giving the signal that they do not want transparency for our institutions. I am very satisfied that even in my last speech in this House, under this mandate, I am fighting corruption, bribery, and I am fighting for the transparency and the enforcement of all ethical standards in this European Union. We need these to be higher. We need to fight for what is good, and we need to fight for this House, for the European institutions, to regain their credibility after a number of embarrassing and problematic issues that have cropped up. And while this is also my last speech, my commitment to the values of this European Union – equality, human rights, the protection of minorities and the strengthening of democracy – will keep on being my fight together with you elsewhere.",S&D,2024-04-25,2. Interinstitutional Body for Ethical Standards (debate),15, ,6399.0,9,False,True,False,False,False,https://www.europarl.europa.eu/doceo/document/CRE-9-2024-04-25-ITM-002_EN.html,,
